group,title,url,description,tags,priority,enabled
Legal,fcfcu-ops,https://railway.com/project/b486dc2e-20fb-487c-ae2e-780a0282d9ac?environmentId=dc04c2bd-9c65-493f-9cb9-23a0a1a5f787,,,51,true
Legal,Self Representation AI - Represent Yourself in Court | Litigation Operating System,https://selfrepresentationai.com/cases/2/notifications,,,52,true
Legal,The Open-Source Toolkit for Building AI Agents v2,https://www.aitidbits.ai/p/open-source-agents-updated,,,53,true
Legal,USCIS Case Tracker — Free Privacy-Focused Immigration Case Status API Tracker,http://casetracker.xyz/,,,54,true
Legal,Matter Workflows - Settings | DocketWise,https://app.docketwise.com/matter_types,,,55,true
Infra,Overview,https://directus.com/docs/getting-started/overview,,,56,true
Gov,Welcome Cody!,https://ihcda.rhsconnect.com/portal?ApplicationGUID=113fab93-ac51-42ee-92aa-d2b92426aed3,,,57,true
Gov,NCUA,https://ncua.gov/,,,58,true
Gov,Login,https://portal.consumerfinance.gov/consumer/s/login/?ec=302&startURL=%2Fconsumer%2Fs%2F,,,59,true
Gov,Self-Hosted | Homechart,https://homechart.app/docs/guides/get-homechart/self-hosted/,,,60,true
IRS,Serve your clients | Internal Revenue Service,https://www.irs.gov/tax-professionals/serve-your-clients,,,61,true
IRS,Outreach Connection for individuals | Internal Revenue Service,https://www.irs.gov/newsroom/outreach-connection-for-individuals,,,62,true
IRS,Outreach Connection for businesses | Internal Revenue Service,https://www.irs.gov/newsroom/outreach-connection-for-businesses,,,63,true
IRS,Outreach Connection for tax-exempt entities | Internal Revenue Service,https://www.irs.gov/newsroom/outreach-connection-for-tax-exempt-entities,,,64,true
IRS,Tax pro news and resources | Internal Revenue Service,https://www.irs.gov/tax-professionals/tax-pro-news-and-resources,,,65,true
IRS,SOFTWARE,https://ultimatetax.customerhub.net/software-info,,,66,true
file_renamer,"AI File Renamer - Rename PDFs, Photos & Documents | Renamer.ai",https://renamer.ai/app,,,67,true
Bots,Grok,https://grok.com/,,,68,true
Bots,ChatGPT - QiOne,https://chatgpt.com/g/g-p-690d8b26955881919486fcd27dd20342-qione/project,,,69,true
Bots,Google Gemini,https://gemini.google.com/app,,,70,true
